id,owner,created,modified,title,type,description,tags,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,source,extent,industries,filename
4ebc50678e364368817dd94029a7453f,HostedbyHIFLD2,"Tue, 02 Jan 2024 14:31:24 GMT","Thu, 26 Jun 2025 18:52:59 GMT",HIFLD Open,Hub Page,"DO NOT DELETE OR MODIFY THIS ITEM. This item is managed by the ArcGIS Hub application. To make changes to this page, please visit https://geoplatform.hub.arcgis.com:/overview/edit.",,"Led by the DHS Geospatial Management Office, HIFLD Open provides national, foundational-level geospatial data for use by the general public.",,,,en-us,,public,,GeoPlatform ArcGIS Online,,,
3933681a814141a682facf68e85d7e27,HostedbyHIFLD2,"Wed, 19 Feb 2025 16:45:47 GMT","Thu, 26 Jun 2025 16:31:25 GMT",Power Plants,Feature Service,"This feature class/shapefile represents electric power plants. Power plants are all the land and land rights, structures and improvements, boiler or reactor vessel equipment, engines and engine-driven generators, turbo generator units, accessory electric equipment, and miscellaneous power plant equipment are grouped together for each individual facility. Included are the following plant types: hydroelectric dams, fossil fuel (coal, natural gas, or oil), nuclear, solar, wind, geothermal, and biomass.","emergency response,energy infrastructure,generation,homeland defense,homeland security,power plants,generating units,CESER,ORNL,Energy,HIFLD,Feature Service,SDI,NSDI,Open Data,FGDC,Emergency Preparedness,Disaster Planning,Infrastructure",This feature class/shapefile is for the Homeland Infrastructure Foundation Level Database (HIFLD) (https://hifld-geoplatform.hub.arcgis.com/) as well as the Energy modelling and simulation community.,,Department of Energy (DOE),None (Public Use). Users are advised to read the data set's metadata thoroughly to understand appropriate use and data limitations.,en-us,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Power_Plants_gdb/FeatureServer,public,custom,Oak Ridge National Laboratory,"-171.71243899999996,-14.324511634999968,145.74099665000006,71.29209279900005",,Power_Plants_gdb.geojson
0f5edb8b83464f9393c2b42205925318,HostedbyHIFLD2,"Fri, 22 Mar 2024 17:33:38 GMT","Fri, 13 Jun 2025 14:46:39 GMT",USGS Hydro Network Linked Data Index (NLDI) Streamgage Monitoring Locations,Feature Service,"This dataset represents all Streamgage Monitoring Stations from the U.S. Geological Survey, for the United States, Puerto Rico, and the U.S. Virgin Islands, in 2025. Gaging stations, or gages, measure the height (stage) and volume of flow at a point location on a water feature. Gages in this map layer were drawn from the National Water Information System (NWIS) Web Interface and linked to the National Hydrography Dataset Plus Version 2 (NHDPlusV2) flowline feature class. Each Streamgage point contains a link to the USGS Water Data site, which provides daily statistics reported from the station. Data pulled from GeoJSON: Release Rebuild with latest NWIS · internetofwater/ref_gages · GitHub The GeoJSON file references NHDPlusV2 identifiers and the “reference mainstems” which are governed here:https://github.com/internetofwater/ref_rivers/","Natural Hazard,EPA,USGS,NLDI,HIFLD,Feature Service,SDI,NSDI,Open Data,FGDC,Emergency Preparedness,Disaster Planning,Infrastructure","Streamgage Monitoring Stations are used to collect information from bodies of water, including Temperature, Discharge, Gage height, and Specific conductance.",,"U.S. Geological Survey (USGS), Environmental Protection Agency (EPA)",None (Public Domain Information),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/USGS_NLDI_Reference_Gages/FeatureServer,public,custom,GeoPlatform ArcGIS Online,"-176.714978,-14.335880560000014,179.90979159999998,71.38736618",,USGS_NLDI_Reference_Gages.geojson
c65cc7b0bd5b4c2b81da97b96a759b00,HostedbyHIFLD2,"Fri, 30 Aug 2024 19:01:26 GMT","Wed, 11 Jun 2025 18:52:44 GMT",Address Ranges,Feature Service,"Address ranges describe a label given to a unique collection of addresses that fall along a road or path. Address ranges provide a way of locating homes and businesses based on their street addresses when no other location information is available. Using a house number, street name, street side and ZIP code, address ranges can locate the address to the geographic area associated to that side of the street. Once geocoded, the U.S. Census Bureau can assign the address to a field assignment area or tabulate the data for that address. In addition, academics, researchers, professionals and government agencies outside of the Census Bureau use MAF/TIGER address ranges to transform tabular addresses into geographical datasets for decision-making and analytical purposes. Address ranges must be unique to geocode addresses to the correct location and avoid geocoding conflicts. Multiple elements in MAF/TIGER are required to make an address range unique including street names, address house numbers and street feature geometries, such as street centerlines. The address range data model is designed to maximize geocoding matches with their correct geographic areas in MAF/TIGER by allowing an unlimited number of address range-to-street feature relationships. The Census Bureau’s Geography Division devises numerous operations and processes to build and maintain high quality address ranges so that: Address ranges accurately describe the location of addresses on the ground. Address All possible city-style addresses are geocoded. Address ranges can handle all known address and street name variations. Address ranges conform with current U.S. Postal Service ZIP codes. Address ranges are reliable and free from conflicts. Automated software continually updates existing address ranges, builds new address ranges and corrects errors. An automated operation links address location points and tabular address information to street feature edges with matching street names in the same block to build and modify address ranges. Many business rules and legal value checks ensure quality address range data in MAF/TIGER. For example, business rules prevent adding or modifying address ranges that overlap another house number range with the same street name and ZIP code. Legal value checks verify that address ranges include mandatory attribute information, valid data types and valid character values. Some of the TIGER/Line products for the public include address ranges and give the public the ability to geocode addresses to MAF/TIGER address ranges for the user’s own purpose. The address range files are available for the nation, Puerto Rico and the U.S. Island Areas at the county level. TIGER/Line files require geographic information system (GIS) software to use. The Census Bureau Geocoder Service is a web service provided to the public. The service accepts up to 1,000 input addresses and, based on Census address ranges, returns the interpolated geocoded location and census geographies. Users can access the service a web interface or a representational state transfer (REST) application program interface (API) web service. See the Census Geocoder for more information on this process.  Directions on how to use the Census Geocoder available: Geocoding Services Web Application Programming Interface (API) Download: https://www2.census.gov/geo/tiger/TGRGDB24/tlgdb_2024_a_us_addr.gdb.zip","Census,Address Range,HIFLD,Boundaries,Feature Service,SDI,NSDI,Open Data,FGDC,Emergency Preparedness,Disaster Planning,Infrastructure",This geodatabase is a complete inventory of all official address ranges in the nation.,"/Categories/Disasters and Natural Hazards,/Categories/GeoPlatform.gov/HIFLD",U.S. Census Bureau,Access Constraints: None (Public Domain Information) Use Constraints: None (Public Use),en-us,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Address_Ranges_2024/FeatureServer,public,custom,GeoPlatform ArcGIS Online,,,Address_Ranges_2024.geojson
d2ce672fda1f44089af659b629d11458,HostedbyHIFLD2,"Tue, 20 Jun 2017 13:03:45 GMT","Thu, 05 Jun 2025 19:57:03 GMT",Aquifers,Feature Service,"This map layer contains the shallowest principal aquifers of the conterminous United States, Hawaii, Puerto Rico, and the U.S. Virgin Islands, portrayed as polygons. The map layer was developed as part of the effort to produce the maps published at 1:2,500,000 in the printed series ""Ground Water Atlas of the United States"". The published maps contain base and cultural features not included in these data. This is a replacement for the July 1998 map layer called Principal Aquifers of the 48 Conterminous United States - https://doi.org/10.3133/70046037","Geohydrology,Puerto Rico,Hydrogeology,US Virgin Islands,Hawaii,USGS,Inland Waters,CONUS,Ground Water,United States,Aquifer,HIFLD,Feature Service,SDI,NSDI,Open Data,FGDC,Emergency Preparedness,Disaster Planning,Infrastructure","These data are intended for use in publications, at a scale of 1:2,500,000 or smaller. Due to the small scale, the primary intended use is for regional and national data display and analysis, rather than specific local data analysis. This dataset represents the shallowest principal aquifers of the conterminous United States, Hawaii, Puerto Rico, and the U.S. Virgin Islands.",,"This map layer was created and modified over a period of at least five years by several staff members of the U.S. Geological Survey Water Resources Discipline, Cartographic and Publications Program in Madison, Wisconsin. Completion of this map layer and associated metadata was funded, in part, under a cooperative joint funding agreement between the U.S. Geological Survey and the U.S. Environmental Protection Agency.",None (Public Use),english (united states),https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Aquifers/FeatureServer,public,custom,U.S. Geological Survey,"-160.23605333263887,17.67469262171516,-64.56616224353955,49.38561965124814",,Aquifers.geojson
a7edefb7a17c4b419be9ab5b09fca930,HostedbyHIFLD2,"Fri, 01 Feb 2019 21:36:20 GMT","Thu, 29 May 2025 16:02:16 GMT",FDIC Insured Banks,Feature Service,"The annual Summary of Deposits (SOD) survey data provides a number of opportunities to better understand the status of our banking system. With the holistic aggregations of the Summary Tables, the geographically sensitive Market Share Reports, and the institution-centric Branch Office Deposits, you will be able to see a clear view of where the deposits are and how they changed over time.  The Summary of Deposits (SOD) application will be discontinued by the end of 2024. A new and improved SOD application is being developed and is available for preview now. Explore the latest beta version of the application https://banks.data.fdic.gov/bankfind-suite/SOD.  The Deposit Market Share is the percentage of deposits an FDIC-insured institution has within a defined geographic market. This data is based on the annual Summary of Deposits (SOD) survey for FDIC-insured institutions as of June 30.  The Deposit Market Share and the Pro Forma (HHI) Reports provide information for all institutions within a specific geographic market for a specific time period. The Market Presence and Growth Rate Reports provide similar information, but from the perspective of one institution. All reports provide data back to 1994 and are available by institution or bank holding company.","US Virgin Islands,Banks,HIFLD Open - Finance,Banking,SOD,FDIC,Continental United States,Puerto Rico,Federal Deposit Insurance Corporation,Northern Marianas,Financial Services,HIFLD Open,Alaska,Guam,Hawaii,Summary of Deposits,American Samoa,CONUS",This data set represents the locations of all Federal Deposit Insurance Corporation (FDIC) Insured Banks Branches and Locations.,,Federal Deposit Insurance Corporation (FDIC),"Disclaimer - The Summary of Deposits data is presented ""as reported"" by the FDIC-insured institutions that have submitted the annual survey. Although every attempt has been made to ensure the reliability of the information contained herein, some inaccuracies may exist. For this reason, the FDIC neither assume responsibility for, nor certify to the accuracy of any of the reported data. Further, these data do not indicate approval or disapproval of any particular institution's performance and are not to be construed as a rating of any institution by federal regulators. Users are cautioned that any conclusions that they may draw from the Summary of Deposits data are their own and are not to be attributed to the federal regulators. In addition, a determination of competitiveness is only one of several assessment factors used by Federal agencies during the application review process. The branch office deposit information is obtained primarily through the annual surveys of deposits conducted by the Federal Deposit Insurance Corporation (FDIC).",en-us,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/FDIC_InsuredBanks/FeatureServer,public,custom,"FDIC Division of Insurance and Research, Data Collection and/or Structure Revisions Reports Analysis & Quality Control Section, Senior Financial Analyst","-166.24855819799998,-24.89278582299994,163.01083000000006,71.29328200000003",,FDIC_InsuredBanks.geojson
249971f133504bcaac56e6d2e98c4b67,HostedbyHIFLD2,"Wed, 05 Jun 2024 17:39:43 GMT","Thu, 29 May 2025 14:35:02 GMT",119th Congressional Districts,Feature Service,"Congressional districts are the 444 areas from which people are elected to the U.S. House of Representatives. After the apportionment of congressional seats among the states based on census population counts, each state is responsible for establishing congressional districts for the purpose of electing representatives. Each congressional district is to be as equal in population to all other congressional districts in a state as practicable. The 119th Congress is seated from January 2023 through December 2024. In Connecticut, Illinois, and New Hampshire, the Redistricting Data Program (RDP) participant did not define the congressional districts to cover all of the state or state equivalent area. In these areas with no congressional districts defined, the code ""ZZ"" has been assigned, which is treated as a single congressional district for purposes of data presentation. The TIGER/Line data for the District of Columbia, Puerto Rico, and the Island Areas (American Samoa, Guam, the Commonwealth of the Northern Mariana Islands, and the U.S. Virgin Islands) each contain a single record for the non-voting delegate district in these areas. The boundaries of all other congressional districts reflect information provided to the Census Bureau by the states by August 31, 2022. Download: https://www2.census.gov/geo/tiger/TGRGDB24/tlgdb_2024_a_us_legislative.gdb.zip Layer: Congressional_Districts Metadata: https://meta.geo.census.gov/data/existing/decennial/GEO/GPMB/TIGERline/Current_19115/series_tl_2023_cd118.shp.iso.xml","HIFLD,Boundaries,115th,Congressional Districts,National Geospatial Data Asset,NGDA,Feature Service,SDI,NSDI,Open Data,FGDC,Emergency Preparedness,Disaster Planning,Infrastructure","Congressional Districts; January 1, 2024 vintage","/Categories/Disasters and Natural Hazards,/Categories/GeoPlatform.gov/HIFLD",U.S. Census Bureau,Access Constraints: None (Public Domain Information) Use Constraints: None (Public Use),en-us,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/0,public,custom,GeoPlatform ArcGIS Online,"-180.0017,-67.3261,-1.2413,88.9172",,119th_Congressional_Districts.geojson
edfc2120384f4dbaad9387bdfd1a704c,HostedbyHIFLD2,"Fri, 22 Oct 2021 01:30:29 GMT","Thu, 15 May 2025 16:41:32 GMT",US Courts of Appeals Circuits,Feature Service,"This data defines the jurisdiction of US Courts of Appeals Circuits. This data shows the jurisdiction of boundaries of the Courts of Appeal Circuits. Data source: Department Of Justice. Data and details are hosted by HIFLD as received from the data provider. For questions /feedback, please email hifld@hq.dhs.gov","HIFLD open,Law Enforcement,US Court of Appeals Circuits,HIFLD Law Enforcement,HIFLD,Feature Service,SDI,NSDI,Open Data,FGDC,Emergency Preparedness,Disaster Planning,Infrastructure",This data defines the jurisdiction of US Courts of Appeals Circuits,"/Categories/Disasters and Natural Hazards,/Categories/GeoPlatform.gov/HIFLD",U.S. Department of Justice (DOJ),Public Use,en-us,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/US_Courts_of_Appeal_Circuits1/FeatureServer,public,custom,GeoPlatform ArcGIS Online,"-170.43017855852756,13.234195969999346,-57.31534675435309,72.07089243755163",,US_Courts_of_Appeal_Circuits1.geojson
6bb5f32811f64ca4aed9c50bf3d444e5,HostedbyHIFLD2,"Fri, 14 Jun 2024 16:48:45 GMT","Thu, 15 May 2025 16:29:17 GMT",Strategic Petroleum Reserves,Feature Service,These data were obtained from the U.S. Dept. of Energy and publicly available information.,"storage,energy,EIA,DOE,HIFLD,Feature Service,SDI,NSDI,Open Data,FGDC,Emergency Preparedness,Disaster Planning,Infrastructure","This is a point dataset representing Strategic Petroleum Reserves as of April 6, 2022.","/Categories/GeoPlatform.gov/Data,/Categories/SDI/SDI-Federal,/Categories/Disasters and Natural Hazards,/Categories/GeoPlatform.gov/HIFLD",U.S. Department of Energy (DOE),"The U.S. Energy Information Administration shall not be held liable for improper or incorrect use of the data described and/or contained herein. These data and related graphics, if available, are not legal documents and are not intended to be used as such. The information contained in these data is dynamic and may change over time. The U.S. Energy Information Administration gives no warranty, expressed or implied, as to the accuracy, reliability, or completeness of these data.",en-us,https://services7.arcgis.com/FGr1D95XCGALKXqM/arcgis/rest/services/SPR_US_EIA/FeatureServer/42,public,custom,GeoPlatform ArcGIS Online,,,SPR_US_EIA.geojson
af605485726d4954b58af81d1360a12c,HostedbyHIFLD2,"Fri, 14 Jun 2024 16:45:57 GMT","Thu, 15 May 2025 16:26:02 GMT",Northeast Petroleum Reserves,Feature Service,Northeast Home Heating Oil Reserve and the Northeast Regional Refined Petroleum Product Reserve sites. Sources: EIA (Weekly Petroleum Status Report) and the Department of Energy.,"energy,infrastructure,petroleum,heating oil,reserves,storage,Northeast,DOE,EIA,HIFLD,Feature Service,SDI,NSDI,Open Data,FGDC,Emergency Preparedness,Disaster Planning,Infrastructure","Northeast Home Heating Oil Reserve and the Northeast Regional Refined Petroleum Product Reserve sites. Data is for the week of August 18, 2023. Capacity is in thousands of barrels.",,Department of Energy (DOE),"The U.S. Energy Information Administration shall not be held liable for improper or incorrect use of the data described and/or contained herein. These data and related graphics, if available, are not legal documents and are not intended to be used as such. The information contained in these data is dynamic and may change over time. The U.S. Energy Information Administration gives no warranty, expressed or implied, as to the accuracy, reliability, or completeness of these data.",en-us,https://services7.arcgis.com/FGr1D95XCGALKXqM/arcgis/rest/services/Northeast_Petroleum_Reserves/FeatureServer/41,public,custom,GeoPlatform ArcGIS Online,,,Northeast_Petroleum_Reserves.geojson
